Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive
23,84,0,2,0,7,73,0,1,0,0,1,0,3,0,0,0,0,67,False,False,True
19,64,0,1,0,8,59,0,1,2,1,1,0,4,0,1,1,1,61,True,False,False
24,98,1,1,1,7,91,1,1,2,1,1,0,4,0,2,0,0,74,False,True,False
29,89,0,1,1,8,98,1,1,1,1,1,0,4,0,0,1,0,71,True,False,False
19,92,1,1,1,6,65,1,1,3,1,2,0,4,0,1,0,1,70,False,True,False
19,88,1,1,1,8,89,1,1,3,1,1,0,3,0,2,0,0,71,False,False,True
29,84,1,0,1,7,68,0,1,1,0,1,1,2,0,0,1,0,67,False,True,False
25,78,0,2,1,6,50,1,1,1,2,2,0,2,0,0,2,0,66,True,False,False
17,94,1,2,0,6,80,2,1,0,1,0,1,1,0,1,0,0,69,False,True,False
23,98,1,1,1,8,71,1,1,0,2,2,0,5,0,0,1,0,72,False,False,True
17,80,0,2,0,8,88,1,0,4,1,2,1,4,0,1,1,0,68,False,True,False
17,97,1,2,1,6,87,0,1,2,0,2,1,2,0,0,0,0,71,False,True,False
21,83,1,1,1,8,97,0,1,2,1,1,0,4,0,0,0,0,70,False,False,True
9,82,1,1,1,8,72,1,1,2,1,1,1,3,0,2,0,0,66,False,False,True
10,78,1,2,1,8,74,1,1,1,0,1,1,4,0,2,0,0,65,False,True,False
17,68,1,1,0,8,70,1,1,2,1,1,1,4,0,0,0,1,64,False,False,True
14,60,1,0,1,10,65,0,1,0,2,1,1,3,0,1,0,0,60,False,False,True
22,70,0,1,1,6,82,1,1,1,0,2,0,3,0,0,0,1,65,False,True,False
15,80,1,1,1,9,91,0,1,3,0,1,0,2,0,1,1,1,67,False,False,True
12,75,1,2,1,7,58,1,1,3,1,1,1,4,0,1,0,0,66,False,False,True
29,78,1,1,0,5,99,2,1,0,2,1,0,1,0,0,1,1,69,True,False,False
19,99,1,2,0,6,84,1,1,1,1,2,0,3,0,0,0,0,72,False,True,False
20,74,1,2,0,8,89,0,1,1,1,1,0,2,0,1,1,1,66,True,False,False
11,78,2,1,1,8,100,2,1,1,0,1,0,3,0,0,1,0,66,False,True,False
17,65,0,2,1,5,75,1,1,2,0,1,0,3,0,0,0,1,63,False,False,True
21,62,2,0,1,6,54,2,1,0,2,2,0,3,0,2,2,0,64,False,False,True
13,91,0,1,0,6,90,1,1,1,2,1,0,2,1,0,1,1,65,True,False,False
22,83,2,2,1,6,94,1,1,0,2,1,0,2,0,1,1,0,71,False,True,False
16,90,1,1,0,4,58,1,1,1,0,1,0,3,0,0,1,1,66,False,True,False
18,66,2,2,0,4,51,0,1,2,0,1,1,2,0,1,0,0,64,False,True,False
16,83,0,1,0,6,57,1,1,0,2,0,0,4,1,0,0,1,63,False,False,True
31,70,1,2,1,7,66,1,1,1,2,1,0,3,0,1,0,0,69,True,False,False
20,69,1,1,1,8,96,1,1,2,1,2,0,3,0,0,0,0,67,False,False,True
14,60,2,1,0,5,50,1,1,2,1,1,0,3,0,1,-1,1,61,False,True,False
25,65,2,1,0,5,90,1,1,2,1,1,0,3,0,1,1,1,68,False,False,True
13,72,0,1,0,6,93,0,1,1,0,1,0,3,0,0,0,0,61,True,False,False
21,65,1,0,1,7,91,0,1,2,1,2,0,3,0,0,2,1,64,False,False,True
8,99,1,1,0,9,54,0,1,2,0,1,0,5,0,2,0,1,67,False,True,False
12,72,0,1,1,8,84,1,1,1,0,1,0,5,0,0,0,1,63,False,False,True
21,65,0,1,1,6,98,0,1,1,1,2,0,4,0,0,0,0,64,True,False,False
24,68,2,1,0,8,56,0,1,3,2,2,0,1,0,1,0,0,67,False,True,False
21,84,1,1,1,6,52,0,1,1,1,2,0,2,1,1,2,1,65,False,True,False
19,63,0,2,0,7,94,1,1,1,1,1,1,3,0,0,1,0,64,False,False,True
18,94,1,2,1,7,82,1,1,3,1,1,1,2,1,1,0,0,70,True,False,False
11,98,1,1,1,9,82,0,1,1,1,1,1,3,0,2,2,0,68,False,False,True
16,70,1,1,1,8,98,1,1,2,1,1,0,3,0,0,1,0,65,False,False,True
17,78,1,1,1,6,88,1,1,1,1,2,1,3,0,1,0,1,68,False,False,True
26,61,1,0,1,6,70,1,1,2,0,1,0,3,0,0,1,1,64,False,False,True
22,86,0,1,1,7,72,0,1,3,0,2,0,2,0,0,1,0,68,False,False,True
9,77,1,1,0,5,57,1,1,2,1,2,0,3,0,0,0,0,63,False,True,False
22,71,0,1,1,7,65,0,1,1,1,0,0,4,0,1,1,0,64,False,False,True
18,68,2,1,0,7,72,1,1,0,1,1,0,3,0,1,0,0,64,False,True,False
16,86,0,1,1,8,63,1,1,2,1,1,0,4,0,0,0,0,67,False,False,True
24,77,2,0,0,8,96,1,1,0,1,1,0,3,0,0,0,1,67,False,True,False
26,67,1,2,1,7,51,0,1,2,2,2,1,4,1,2,2,1,66,False,True,False
26,88,1,2,1,5,79,1,1,1,0,2,1,4,0,1,1,0,72,False,False,True
15,83,1,2,0,5,89,0,0,1,1,2,0,2,1,0,0,1,65,False,True,False
18,94,1,1,1,6,87,2,1,1,1,1,0,4,0,0,0,0,71,False,False,True
22,65,2,0,0,8,82,1,1,2,1,2,0,1,0,2,0,1,66,False,False,True
26,91,1,0,1,8,71,1,1,0,0,1,1,3,0,0,1,0,68,False,True,False
17,87,1,1,0,7,96,1,1,1,2,1,0,5,0,2,0,1,70,True,False,False
19,65,1,1,1,10,66,0,1,0,0,1,0,3,0,0,1,0,62,False,False,True
13,88,0,2,1,9,88,2,1,2,0,2,1,4,0,2,2,0,68,True,False,False
13,78,1,2,1,9,96,2,1,2,0,1,0,3,0,1,1,0,67,False,True,False
25,98,0,2,1,8,56,1,0,0,1,2,1,3,0,2,0,0,71,False,True,False
28,66,1,2,1,8,97,1,1,0,1,1,0,2,0,0,0,0,68,False,True,False
20,86,1,1,1,8,89,1,1,1,0,1,0,3,0,2,0,0,69,True,False,False
26,75,0,2,1,4,81,2,1,3,1,2,1,2,0,0,1,0,70,False,False,True
22,98,1,2,0,5,69,0,0,1,0,2,0,4,0,0,1,1,69,True,False,False
16,73,1,1,0,7,95,1,1,1,0,1,0,4,0,1,0,0,65,True,False,False
22,98,1,0,1,7,52,1,0,3,1,1,0,3,0,1,0,1,70,False,False,True
29,96,1,0,1,7,72,1,1,1,0,1,0,3,0,0,1,0,71,False,False,True
20,71,1,1,1,7,88,1,1,1,0,0,0,4,0,1,0,1,65,False,True,False
29,92,0,1,0,4,91,1,1,2,1,1,0,1,0,2,0,1,72,True,False,False
4,100,2,2,1,8,60,2,1,0,1,2,1,4,0,1,1,0,69,False,False,True
25,70,1,1,0,7,52,1,1,1,1,1,0,3,0,2,0,1,66,False,False,True
21,77,0,1,1,7,90,1,1,4,1,1,1,3,0,2,1,0,68,False,True,False
18,81,2,0,1,8,71,1,1,0,1,1,0,3,0,0,1,1,65,False,True,False
21,72,1,1,1,5,57,1,1,1,2,1,0,5,1,1,1,0,64,False,True,False
8,61,1,1,1,7,54,1,1,1,2,1,0,3,0,1,0,0,60,False,False,True
19,69,1,2,1,7,82,2,1,1,0,1,0,2,0,0,0,0,65,True,False,False
22,71,2,1,0,6,79,2,1,1,0,0,0,3,0,0,0,0,66,False,False,True
29,78,2,2,1,4,93,0,1,5,1,2,0,3,0,1,0,0,74,False,True,False
17,67,1,1,1,5,52,2,1,2,1,1,1,3,0,0,2,1,62,True,False,False
15,95,1,1,0,7,93,1,1,2,0,1,0,4,0,1,1,0,70,False,False,True
17,88,1,2,1,7,94,0,1,0,1,1,0,3,0,0,0,0,69,False,True,False
25,63,1,2,1,7,72,1,1,3,1,2,1,4,0,1,2,0,67,True,False,False
22,86,0,0,0,6,54,1,1,2,1,1,0,0,0,0,1,0,64,False,True,False
17,86,1,2,0,5,97,2,1,3,2,1,0,3,0,1,0,0,71,False,True,False
23,98,1,0,1,7,54,0,1,0,1,1,0,3,0,1,0,1,68,True,False,False
21,60,2,1,0,7,80,1,1,0,1,2,0,4,1,1,0,0,64,False,True,False
26,70,1,0,1,8,75,1,1,1,1,0,1,4,1,0,2,1,63,False,True,False
16,97,1,1,1,6,92,0,1,0,2,1,1,4,0,1,0,0,71,False,False,True
18,97,2,1,1,4,75,0,1,0,0,1,0,3,0,0,1,0,69,False,False,True
18,89,2,1,1,4,73,1,1,3,2,1,1,2,0,1,0,1,100,False,False,True
11,91,1,1,0,6,94,1,1,3,1,1,0,3,0,1,1,0,68,False,True,False
22,64,0,1,0,7,98,0,0,1,1,1,0,3,0,0,0,0,62,True,False,False
22,81,1,1,1,7,77,0,1,2,1,1,0,3,0,2,2,1,68,False,False,True
20,69,2,2,1,6,73,1,1,2,0,1,1,3,0,0,2,0,66,False,False,True
19,67,0,1,0,5,92,2,1,0,1,1,0,3,0,1,0,0,64,False,False,True
12,92,1,1,0,4,92,2,1,2,1,2,0,3,1,0,1,0,67,False,True,False
17,65,1,2,1,8,66,1,1,1,2,2,0,4,1,2,1,1,65,False,True,False
18,79,1,1,1,7,79,1,1,0,0,2,1,3,0,1,2,0,65,False,True,False
15,98,2,1,0,6,58,2,1,0,0,2,0,3,0,1,0,0,69,False,False,True
19,67,1,1,0,5,82,2,1,1,0,0,1,3,0,0,0,0,63,True,False,False
22,99,1,0,1,6,92,0,1,3,1,1,0,4,0,2,1,0,72,True,False,False
31,100,1,1,0,7,59,1,1,2,2,2,0,5,0,2,1,0,76,False,False,True
21,82,1,2,1,7,66,2,1,3,0,1,0,3,1,1,0,1,69,False,False,True
22,67,1,1,1,7,72,2,1,3,0,2,0,2,0,2,1,1,67,False,False,True
